week,theme,dialogue,order,chinese,pinyin,french,notes,audio
1,chiffres/dates/argent,,1,零,líng,zéro,,
1,chiffres/dates/argent,,2,一,yī,un,,
1,chiffres/dates/argent,,3,二,èr,deux,,
1,chiffres/dates/argent,,4,三,sān,trois,,
1,chiffres/dates/argent,,5,四,sì,quatre,,
1,chiffres/dates/argent,,6,五,wǔ,cinq,,
1,chiffres/dates/argent,,7,六,liù,six,,
1,chiffres/dates/argent,,8,七,qī,sept,,
1,chiffres/dates/argent,,9,八,bā,huit,,
1,chiffres/dates/argent,,10,九,jiǔ,neuf,,
1,chiffres/dates/argent,,11,十,shí,dix,,
1,chiffres/dates/argent,,12,一百,yì bǎi,cent,,
1,chiffres/dates/argent,,13,一千,yì qiān,mille,,
1,chiffres/dates/argent,,14,一百二十三,yì bǎi èr shí sān,cent vingt-trois,,
1,chiffres/dates/argent,,15,三百零五,sān bǎi líng wǔ,trois cent cinq,,
1,chiffres/dates/argent,,16,九百八十七,jiǔ bǎi bā shí qī,neuf cent quatre-vingt-sept,,
1,chiffres/dates/argent,,17,一月,yī yuè,janvier,,
1,chiffres/dates/argent,,18,二月,èr yuè,février,,
1,chiffres/dates/argent,,19,三月,sān yuè,mars,,
1,chiffres/dates/argent,,20,四月,sì yuè,avril,,
1,chiffres/dates/argent,,21,五月,wǔ yuè,mai,,
1,chiffres/dates/argent,,22,六月,liù yuè,juin,,
1,chiffres/dates/argent,,23,七月,qī yuè,juillet,,
1,chiffres/dates/argent,,24,八月,bā yuè,août,,
1,chiffres/dates/argent,,25,九月,jiǔ yuè,septembre,,
1,chiffres/dates/argent,,26,十月,shí yuè,octobre,,
1,chiffres/dates/argent,,27,十一月,shí yī yuè,novembre,,
1,chiffres/dates/argent,,28,十二月,shí èr yuè,décembre,,
1,chiffres/dates/argent,,29,星期一,xīng qī yī,lundi,,
1,chiffres/dates/argent,,30,星期二,xīng qī èr,mardi,,
1,chiffres/dates/argent,,31,星期三,xīng qī sān,mercredi,,
1,chiffres/dates/argent,,32,星期四,xīng qī sì,jeudi,,
1,chiffres/dates/argent,,33,星期五,xīng qī wǔ,vendredi,,
1,chiffres/dates/argent,,34,星期六,xīng qī liù,samedi,,
1,chiffres/dates/argent,,35,星期天,xīng qī tiān,dimanche,,
1,chiffres/dates/argent,,36,号,hào,jour du mois,,
1,chiffres/dates/argent,,37,一月五号,yī yuè wǔ hào,le 5 janvier,,
1,chiffres/dates/argent,,38,十二月二十五号,shí èr yuè èr shí wǔ hào,le 25 décembre,,
1,chiffres/dates/argent,,39,块,kuài,dollar / yuan,,
1,chiffres/dates/argent,,40,毛,máo,dix cents,,
1,chiffres/dates/argent,,41,分,fēn,centime,,
1,chiffres/dates/argent,,42,十四块二毛五分,shí sì kuài èr máo wǔ fēn,14 $ 25,,
1,chiffres/dates/argent,,43,三块五毛,sān kuài wǔ máo,3 $ 50,,
1,chiffres/dates/argent,,44,二十块,èr shí kuài,20 $,,
1,chiffres/dates/argent,,45,一百零八块七毛五分,yì bǎi líng bā kuài qī máo wǔ fēn,108 $ 75,,
1,vocabulaire,,1,米饭,mǐ fàn,riz,,
1,vocabulaire,,2,喝,hē,boire,,
1,vocabulaire,,3,果汁,guǒ zhī,jus,,
1,vocabulaire,,4,牛奶,niú nǎi,lait,,
1,vocabulaire,,5,鸡蛋,jī dàn,oeuf,,
1,vocabulaire,,6,火车,huǒ chē,train,,
1,vocabulaire,,7,电脑,diàn nǎo,ordinateur,,
1,vocabulaire,,8,电视,diàn shì,télévision,,
1,vocabulaire,,9,电话,diàn huà,téléphone,,
1,vocabulaire,,10,学生,xué shēng,étudiant,,
1,vocabulaire,,11,老师,lǎo shī,professeur,,
1,vocabulaire,,12,女,nǚ,femme / féminin,,
1,vocabulaire,,13,男,nán,homme / masculin,,
1,vocabulaire,,14,人,rén,personne,,
1,vocabulaire,,15,吃,chī,manger,,
1,vocabulaire,,16,海鲜,hǎi xiān,fruits de mer,,
1,vocabulaire,,17,牛肉,niú ròu,viande de boeuf,,
1,vocabulaire,,18,水果,shuǐ guǒ,fruits,,
1,vocabulaire,,19,热,rè,chaud,,
1,vocabulaire,,20,面条,miàn tiáo,nouilles,,
1,vocabulaire,,21,火车站,huǒ chē zhàn,gare ferroviaire,,
1,vocabulaire,,22,飞机,fēi jī,avion,,
1,vocabulaire,,23,饭店,fàn diàn,restaurant / hôtel,,
1,vocabulaire,,24,机场,jī chǎng,aéroport,,
1,vocabulaire,,25,法文,Fǎ wén,français,,
1,vocabulaire,,26,英文,Yīng wén,anglais,,
1,vocabulaire,,27,茶,chá,thé,,
1,vocabulaire,,28,鱼,yú,poisson,,
1,vocabulaire,,29,菜,cài,"plat, cuisine, légumes",,
1,vocabulaire,,30,北,běi,nord,,
1,vocabulaire,,31,南,nán,sud,,
1,vocabulaire,,32,东,dōng,est,,
1,vocabulaire,,33,西,xī,ouest,,
1,vocabulaire,,34,中国,Zhōng guó,Chine,,
1,vocabulaire,,35,咖啡,kā fēi,café,,
1,vocabulaire,,36,面包,miàn bāo,pain,,
1,vocabulaire,,37,包子,bāozi,brioche farcie,,
1,vocabulaire,,38,中文,Zhōng wén,chinois,,
1,vocabulaire,,39,冷,lěng,froid,,
1,vocabulaire,,40,苹果,píng guǒ,pomme,,
1,vocabulaire,,41,车,chē,voiture,,
1,vocabulaire,,42,商店,shāng diàn,magasin,,
1,vocabulaire,,43,店,diàn,boutique / magasin,,
1,vocabulaire,,44,茶店,chá diàn,boutique de thé,,
1,Expressions,,1,麻烦你，这个！,má fan nǐ, zhè ge!,ça s'il te plaît,,
1,Expressions,,2,麻烦你，那个！,má fan nǐ, nà ge!,celui-là s'il te plaît,,
1,Expressions,,3,谢谢您,xiè xie nín,merci à vous,,
1,Expressions,,4,非常感谢！,fēi cháng gǎn xiè!,merci beaucoup,,
1,Expressions,,5,不客气,bú kè qi,de rien,,
1,Expressions,,6,不好意思,bù hǎo yì si,"excusez-moi, désolé, pardon",,
1,Expressions,,7,没事，没事,méi shì, méi shì,"pas grave, ce n'est rien",,
1,Expressions,,8,是,shì,oui,,
1,Expressions,,9,对,duì,oui / c'est juste,,
1,Expressions,,10,不是,bú shì,non / ce n'est pas,,
1,Expressions,,11,不对,bú duì,non / ce n'est pas correct,,
1,Expressions,,12,没有,méi yǒu,"non / il n'y a pas / ne pas avoir",,
1,Expressions,,13,我不明白！,wǒ bù míng bai!,je ne comprends pas !,,
1,Expressions,,14,我忘了！,wǒ wàng le!,j'ai oublié !,,
1,Expressions,,15,看情况,kàn qíng kuàng,ça dépend,,
